nombre,precio,año,kms,transmision,url
Mazda 3 Touring Motor 2.0 2018 5 Puertas Único Dueño,56.500.000,2018,40.000 km,Automática,https://articulo.tucarro.com.co/MCO-594880522-mazda-3-touring-motor-20-2018-5-puertas-unico-dueno-_JM
Mazda Mazda 3 Prime 2000 Cc Mt 4x2,44.800.000,2016,35.000 km,Mecánica,https://articulo.tucarro.com.co/MCO-594534791-mazda-mazda-3-prime-2000-cc-mt-4x2-_JM
Mazda Mazda 3 Grand Touring 2000 Cc At,55.750.000,2016,74.000 km,Automática,https://articulo.tucarro.com.co/MCO-593992835-mazda-mazda-3-grand-touring-2000-cc-at-_JM
Mazda Mazda 3 Prime Tp 2019,56.200.000,2019,14.000 km,Automática,https://articulo.tucarro.com.co/MCO-593188729-mazda-mazda-3-prime-tp-2019-_JM
Mazda Mazda 3 Prime Mt,42.000.000,2015,41.342 km,Mecánica,https://articulo.tucarro.com.co/MCO-599002684-mazda-mazda-3-prime-mt-_JM
Mazda Mazda 3 Grand Touring,54.900.000,2015,45.000 km,Automática,https://articulo.tucarro.com.co/MCO-600401467-mazda-mazda-3-grand-touring-_JM
Mazda  Mazda 3 Grand Touring,63.000.000,2017,29.100 km,Automática,https://articulo.tucarro.com.co/MCO-598941188-mazda-mazda-3-grand-touring-_JM
Mazda Mazda 3 Mazda 3 Grand Tourin,74.000.000,2020,7.500 km,Automática,https://articulo.tucarro.com.co/MCO-599967675-mazda-mazda-3-mazda-3-grand-tourin-_JM
Mazda 3 Grand Touring 2017,58.900.000,2017,27.000 km,Automática,https://articulo.tucarro.com.co/MCO-598153860-mazda-3-grand-touring-2017-_JM
Mazda Mazda 3 Touring At 2000,73.800.000,2020,6.500 km,Automática,https://articulo.tucarro.com.co/MCO-598978790-mazda-mazda-3-touring-at-2000-_JM
Mazda Mazda 3 Grantouring Lx,60.900.000,2017,56.000 km,Automática,https://articulo.tucarro.com.co/MCO-599700748-mazda-mazda-3-grantouring-lx-_JM
Mazda Mazda 3 Grand Touring 2.5 At,90.500.000,2021,1.500 km,Automática,https://articulo.tucarro.com.co/MCO-599732079-mazda-mazda-3-grand-touring-25-at-_JM
Mazda 3 Touring 2000 Cc Automático,49.900.000,2016,66.000 km,Automática,https://articulo.tucarro.com.co/MCO-600243291-mazda-3-touring-2000-cc-automatico-_JM
Mazda Mazda 3 Grand Touring 2000 Cc At,68.490.000,2019,17.800 km,Automática,https://articulo.tucarro.com.co/MCO-599798164-mazda-mazda-3-grand-touring-2000-cc-at-_JM
Mazda 3 Touring 2019 Full Automatico 18000 Kls,61.900.000,2019,18.000 km,Automática,https://articulo.tucarro.com.co/MCO-594025927-mazda-3-touring-2019-full-automatico-18000-kls-_JM
Mazda Mazda 3 Grand Turing Lx,71.500.000,2019,32.000 km,Automática,https://articulo.tucarro.com.co/MCO-578998910-mazda-mazda-3-grand-turing-lx-_JM
Mazda 3 Skyactiv Touring Automatico,77.900.000,2021,9.100 km,Automática,https://articulo.tucarro.com.co/MCO-599757446-mazda-3-skyactiv-touring-automatico-_JM
Mazda Mazda 3 Touring,72.900.000,2020,13.900 km,Automática,https://articulo.tucarro.com.co/MCO-599733520-mazda-mazda-3-touring-_JM
"Mazda 3 Grand Touring Lx, 2.5l, 2020, Version Mas Full",89.900.000,2020,8.000 km,Automática,https://articulo.tucarro.com.co/MCO-595718174-mazda-3-grand-touring-lx-25l-2020-version-mas-full-_JM
Mazda 3 Touring  Automático Cuero 2021,84.900.000,2021,0 km,Automática,https://articulo.tucarro.com.co/MCO-593883391-mazda-3-touring-automatico-cuero-2021-_JM
Mazda 3 Grand Touring Lx Automatico 2.5,101.600.000,2021,0 km,Automática,https://articulo.tucarro.com.co/MCO-581699544-mazda-3-grand-touring-lx-automatico-25-_JM
Mazda 3 Prime 2.0 Mecanico,52.900.000,2019,23.897 km,Mecánica,https://articulo.tucarro.com.co/MCO-598990478-mazda-3-prime-20-mecanico-_JM
Mazda 3 Touring Automatico 2017,52.000.000,2017,70.000 km,Automática,https://articulo.tucarro.com.co/MCO-597008357-mazda-3-touring-automatico-2017-_JM
Mazda Mazda 3 Touring 2000 Cc At 4x2,56.000.000,2017,59.000 km,Automática,https://articulo.tucarro.com.co/MCO-599361381-mazda-mazda-3-touring-2000-cc-at-4x2-_JM
Mazda 3 Grand Touring Lx,63.500.000,2018,34.000 km,Automática,https://articulo.tucarro.com.co/MCO-598150960-mazda-3-grand-touring-lx-_JM
Mazda 3 Touring Automático 2.0,83.000.000,2021,0 km,Automática,https://articulo.tucarro.com.co/MCO-581701560-mazda-3-touring-automatico-20-_JM
Mazda 3 Skyactiv Touring Mt,43.500.000,2015,97.600 km,Mecánica,https://articulo.tucarro.com.co/MCO-599225336-mazda-3-skyactiv-touring-mt-_JM
Mazda 3 Touring Tela 2021,83.000.000,2020,0 km,Automática,https://articulo.tucarro.com.co/MCO-593882562-mazda-3-touring-tela-2021-_JM
Mazda Mazda 3 Grand Touring Lx,69.500.000,2019,36.000 km,Automática,https://articulo.tucarro.com.co/MCO-595897301-mazda-mazda-3-grand-touring-lx-_JM
Mazda 3 Grand Touring 2021,95.400.000,2020,0 km,Automática,https://articulo.tucarro.com.co/MCO-593882655-mazda-3-grand-touring-2021-_JM
Mazda 3 Prime At 2.0,49.900.000,2017,49.000 km,Automática,https://articulo.tucarro.com.co/MCO-596218127-mazda-3-prime-at-20-_JM
Mazda Mazda 3 Grand Touring 2021,97.400.000,2021,0 km,Automática,https://articulo.tucarro.com.co/MCO-593883007-mazda-mazda-3-grand-touring-2021-_JM
Mazda 3 Grand Touring Lx,86.900.000,2020,13.000 km,Automática,https://articulo.tucarro.com.co/MCO-597423856-mazda-3-grand-touring-lx-_JM
Mazda 3 Grand Touring Lx,89.900.000,2020,2.500 km,Automática,https://articulo.tucarro.com.co/MCO-595527606-mazda-3-grand-touring-lx-_JM
Mazda 3 Prime Automático 2021,76.300.000,2021,0 km,Automática,https://articulo.tucarro.com.co/MCO-593882858-mazda-3-prime-automatico-2021-_JM
Mazda 3 Grand Touring 2.5,85.999.000,2020,8.950 km,Automática,https://articulo.tucarro.com.co/MCO-599114977-mazda-3-grand-touring-25-_JM
Mazda 3 Grand Touring,62.500.000,2017,47.500 km,Automática,https://articulo.tucarro.com.co/MCO-598984148-mazda-3-grand-touring-_JM
Mazda Mazda 3 Grand Touring 2000 Cc At,59.000.000,2017,53.000 km,Automática,https://articulo.tucarro.com.co/MCO-595505061-mazda-mazda-3-grand-touring-2000-cc-at-_JM
Mazda 3 Grand Touring,64.000.000,2018,46.000 km,Automática,https://articulo.tucarro.com.co/MCO-598345035-mazda-3-grand-touring-_JM
Mazda Mazda 3 Touring 2000 Cc At 4x2,49.900.000,2016,95.000 km,Automática,https://articulo.tucarro.com.co/MCO-599181715-mazda-mazda-3-touring-2000-cc-at-4x2-_JM
Mazda  3 Prime,50.000.000,2016,32.100 km,Automática,https://articulo.tucarro.com.co/MCO-586095345-mazda-3-prime-_JM
Mazda 3 Grand Touring Full Version,69.000.000,2018,22.000 km,Automática,https://articulo.tucarro.com.co/MCO-600248183-mazda-3-grand-touring-full-version-_JM
Mazda 3 Touring Tp 2018,51.500.000,2018,53.000 km,Mecánica,https://articulo.tucarro.com.co/MCO-598616002-mazda-3-touring-tp-2018-_JM
Mazda 3 Touring Aut Sport,66.900.000,2020,26.000 km,Automática,https://articulo.tucarro.com.co/MCO-599798291-mazda-3-touring-aut-sport-_JM
Mazda 3 Touring At 2.0 2017 Jcq418,52.300.000,2017,58.000 km,Automática,https://articulo.tucarro.com.co/MCO-600247142-mazda-3-touring-at-20-2017-jcq418-_JM
Mazda 3 Touring,49.000.000,2015,63.300 km,Automática,https://articulo.tucarro.com.co/MCO-599092089-mazda-3-touring-_JM
Mazda 3 Sport Grand Touring Lx 2.0l,64.800.000,2019,47.500 km,Automática,https://articulo.tucarro.com.co/MCO-598761245-mazda-3-sport-grand-touring-lx-20l-_JM
Mazda 3 Touring Mt 2000cc 6ab Abs,47.000.000,2016,64.403 km,Mecánica,https://articulo.tucarro.com.co/MCO-599490518-mazda-3-touring-mt-2000cc-6ab-abs-_JM
